<<<<<<< HEAD
SubjectID,Species,Sex,Age_years,Weight_kg,SurgicalProcedure,SurgeryDuration_min,SurgeryComplexity,VetType,ExperienceYears,OperativeCare,Premed,Premed_Total_mg,InductionAgent,Induction_Total_mg,MaintenanceAgent,Maintenance_Rate_mgkg_hr,Intraop_Analgesia,Intraop_Analgesia_Total_mg,Postop_Antibiotic,Postop_Antibiotic_Total_mg,Postop_Antibiotic_Duration_days,Postop_Analgesia,Postop_Analgesia_Total_mg,Postop_Analgesia_Duration_hr,ReversalAgent,RareAdverseEventEver,FirstRareAdverseEventType
1,Rhesus,Male,6.0,7.010499938365189,Abdominal,143.75186298104035,4.0,BoardEligible,6.0,3.8972866356311324,Alfaxalone_IV,7.587550465508088,Propofol_IV,27.845601722980216,Desflurane,0.8036234199676617,Buprenorphine,0.1835898529415927,Ampicillin,263.8845829466492,4.0,Carprofen,22.4259287862282,43.438621463192646,Atipamezole,False,
2,Marmoset,Male,3.0,0.6459565218561838,Cardiothoracic,172.8116368430757,5.0,BoardEligible,4.0,3.9176337411534856,Dexmedetomidine_Ketamine_IM,3.064134356437182,Propofol_IV,3.1837271852624935,Desflurane,0.8932884744817903,Hydromorphone,0.08175987932965686,Cefotaxime,21.90844177829936,4.0,Local_Block,0.373174921031715,28.842938954401546,Atipamezole,True,Severe Infection
3,Cynomolgus,Female,7.0,6.3348892741792495,Abdominal,115.6015012510656,3.0,DACLAM,10.0,4.759973262559931,Alfaxalone_IV,6.9027678318026595,Ketamine_IV,13.627150781319195,TIVA_Propofol,8.113060420528114,Morphine,2.469650974027837,Cefazolin,179.91768815850358,2.0,Buprenorphine,0.09225741741002924,71.53563267468377,Atipamezole,False,
4,Cynomolgus,Male,8.0,6.602701063257207,Orthopedic,131.77191966956818,3.0,DACLAM,13.0,5.0,Alfaxalone_IV,9.42249381799238,Alfaxalone_IV,6.2489323741937195,Sevoflurane,1.1627477360943737,Fentanyl_bolus,0.04220011193465487,Ampicillin,304.7421528827383,4.0,Local_Block,2.0640313463083544,28.55738479756532,Atipamezole,False,
5,Rhesus,Female,20.0,10.434320774279136,Abdominal,132.5257021911097,5.0,DACLAM,18.0,5.0,Medetomidine_Ketamine_IM,56.67653919891748,Propofol_IV,52.253356341778584,Sevoflurane,1.136433145118974,Hydromorphone,1.1573037620159499,Ampicillin,465.51268423103977,3.0,Morphine,2.250786969067219,48.1842114574719,Atipamezole,False,
6,Rhesus,Male,7.0,7.43331431012128,Abdominal,112.57984315263661,5.0,Resident,4.0,3.128841624298541,Alfaxalone_IV,21.79992881065246,Alfaxalone_IV,12.219181861455382,Isoflurane,1.240647418512173,Fentanyl_bolus,0.05994040928765769,Enrofloxacin,68.74625464027662,5.0,Meloxicam,3.388670662997646,35.19806655021801,Atipamezole,False,
7,Rhesus,Female,18.0,9.651955505798298,Orthopedic,165.0248095288491,3.0,BoardEligible,5.0,4.269658157916521,Midazolam_Ketamine_IM,55.44228971469027,Ketamine_IV,44.73529269375152,Isoflurane,0.8338770127281387,Morphine,3.768811538560341,Enrofloxacin,52.36926613439735,6.0,Buprenorphine,0.2707841277939264,24.28767073411398,Atipamezole,False,
8,Cynomolgus,Female,15.0,8.01554287567376,Orthopedic,151.2358347692028,5.0,DACLAM,8.0,5.0,Alfaxalone_IV,15.328399193291723,Alfaxalone_IV,11.624250269110142,Sevoflurane,0.8949864654818301,Fentanyl_bolus,0.041171155017250036,Enrofloxacin,53.72251533689897,4.0,Local_Block,3.0899249007691463,9.202841833355683,Atipamezole,False,
9,Cynomolgus,Male,13.0,5.654546358120684,Orthopedic,194.0342197922574,4.0,BoardEligible,3.0,4.2912753451684305,Medetomidine_Ketamine_IM,40.89094791832191,Propofol_IV,22.50214464921946,TIVA_Propofol,7.820341288178911,Morphine,1.5517728020486723,Enrofloxacin,53.53366939405707,5.0,Local_Block,2.7620806643210045,17.057447219080125,Atipamezole,False,
10,Cynomolgus,Male,17.0,6.023614680974919,Orthopedic,140.89706839074773,3.0,DACLAM,12.0,4.3113739986399215,Dexmedetomidine_Ketamine_IM,25.67918711268732,Etomidate_IV,7.907266621524137,Sevoflurane,1.0509537982664527,Buprenorphine,0.18054311016040206,Enrofloxacin,40.41666176175137,3.0,Meloxicam,2.926577222432028,107.48089094352653,Atipamezole,False,
11,Rhesus,Male,16.0,11.509559434153546,Orthopedic,197.28208413109274,4.0,BoardEligible,5.0,3.9178342675008904,Dexmedetomidine_Ketamine_IM,47.44101003846673,Etomidate_IV,15.590633350201998,TIVA_Propofol,7.590911713489247,Morphine,4.038761892667362,Cefotaxime,362.55154650050366,3.0,Carprofen,32.86645344995541,71.88486981770714,Atipamezole,False,
12,Marmoset,Female,5.0,0.7330320421572406,Neurosurgery,187.16405583778018,4.0,BoardEligible,5.0,2.6988681064184594,Dexmedetomidine_Ketamine_IM,4.429581971277511,Etomidate_IV,0.7395468822132093,Sevoflurane,1.0217711896589625,Morphine,0.22378811836524148,Ampicillin,33.43475878563574,4.0,Morphine,0.3317319029272807,69.42128389210696,Atipamezole,False,
13,Cynomolgus,Female,9.0,7.284952341963632,Orthopedic,141.4700571580112,5.0,BoardEligible,4.0,2.9273376921652,Midazolam_Ketamine_IM,55.61513294607758,Alfaxalone_IV,3.989084552189802,Isoflurane,1.3720217477880028,Hydromorphone,1.316979491223373,Cefazolin,211.62566245089832,1.0,Meloxicam,3.638108976498547,46.209205747964404,Atipamezole,False,
14,Rhesus,Female,21.0,10.492010558768284,Cardiothoracic,125.590873521027,5.0,BoardEligible,4.0,3.9803720264101194,Midazolam_Ketamine_IM,80.54162495562899,Propofol_IV,25.054529769559032,Isoflurane,1.1208376128093975,Morphine,2.5664980688655037,Enrofloxacin,96.09818790968455,4.0,Carprofen,36.05004878018744,85.94946421999785,Atipamezole,True,Cardiac Arrest
15,Rhesus,Male,16.0,8.766461339830423,Abdominal,98.65929635766231,5.0,DACLAM,18.0,5.0,Dexmedetomidine_Ketamine_IM,59.97188324594397,Propofol_IV,46.373449338043336,TIVA_Propofol,10.338334986353448,Fentanyl_bolus,0.0605342961853284,Cefazolin,260.41731542850283,2.0,Buprenorphine,0.13813355160673751,37.444051927209955,Atipamezole,False,
16,Rhesus,Male,11.0,9.071285025656966,Abdominal,128.12538433887332,3.0,DACLAM,12.0,4.03226891183738,Alfaxalone_IV,11.320631786110932,Etomidate_IV,12.499813404133759,TIVA_Propofol,8.925408829590834,Morphine,4.174064412217751,Enrofloxacin,87.65544034868563,3.0,Meloxicam,2.941397754444297,80.28935938773122,Atipamezole,True,Organ Failure
17,Rhesus,Male,8.0,8.244433720034953,Abdominal,108.3880429307929,5.0,DACLAM,8.0,5.0,Midazolam_Ketamine_IM,50.0873751303834,Etomidate_IV,9.154869441813801,TIVA_Propofol,9.978267762851026,Fentanyl_bolus,0.0200041385101612,Cefotaxime,277.5462075905494,3.0,Morphine,1.154819236076974,43.87165345152172,Atipamezole,True,Hemorrhage
